Rank|School|City
1620|Aquinas College, Tennessee|Nashville
1621|Villa Maria College|Buffalo
1622|Central Christian College of the Bible|Moberly ...
1623|Pennsylvania College of Art and Design|Lancaster
1624|Grace University|Omaha
1625|Kentucky Christian University|Grayson
1626|Mount Carmel College of Nursing|Columbus
1627|Northern New Mexico College|Espanola ...
1628|Grace Christian University|Wyoming
1629|The School of Architecture at Taliesin|Scottsdale
1630|Southern University Law Center|Baton Rouge
1631|Appalachian Bible College|Mount Hope
1632|Trocaire College|Buffalo
1633|Barclay College|Haviland
1634|Indiana University Kokomo|Kokomo
1635|Davis & Elkins College|Elkins
1636|Benedict College|Columbia
1637|Presentation College|Aberdeen
1638|Washington Adventist University|Takoma Park
1639|Truett McConnell University|Cleveland
1640|Martin Methodist College|Pulaski
1641|Atlanta Metropolitan State College|Atlanta
1642|Rust College|Holly Springs
1643|Dallas Christian College|Dallas
1644|Kettering College|Kettering
1645|University of Western States|Portland
1646|Dominican School of Philosophy & Theology|Berkeley
1647|University of the West|Rosemead
1648|Lincoln College|Lincoln
1649|Paul Quinn College|Dallas
1650|Oregon College of Art and Craft|Portland
1651|Bryn Athyn College|Bryn Athyn
1652|Massachusetts School of Law|Andover
1653|VanderCook College of Music|Chicago
1654|Relay Graduate School of Education|New York City
1655|New York Academy of Art|New York City
1656|Greensboro College|Greensboro
1657|Bacone College|Muskogee
1658|The University of Montana Western|Dillon
1659|University of the Southwest|Hobbs
1660|Talladega College|Talladega
1661|Arizona Christian University|Phoenix
1662|Watkins College of Art, Design & Film|Nashville
1663|Webber International University|Babson Park
1664|Mercy College of Ohio|Toledo
1665|St Andrews University|Laurinburg
1666|The Baptist College of Florida|Graceville ...
1667|Baptist Memorial College of Health Sciences|Memphis
1668|Oak Hills Christian College|Bemidji
1669|Salem International University|Salem
1670|Calvary University|Kansas City
1671|Northwest Christian University|Eugene
1672|Life Pacific College|San Dimas ...
1673|Iowa Wesleyan University|Mount Pleasant
1674|Illinois College of Optometry|Chicago
1675|Vermont College of Fine Arts|Montpelier
1676|Conway School of Landscape Design|Easthampton
1677|Kuyper College|Grand Rapids
1678|Lake Forest Graduate School of Management|Lake Forest
1679|Welch College|Nashville
1680|Neumont University|Salt Lake City
1681|University of Maine at Machias|Machias
1682|Alaska Bible College|Palmer
1683|Marymount California University|Rancho Palos Verdes
1684|Stillman College|Tuscaloosa
1685|Allen College|Waterloo
1686|Chowan University|Murfreesboro
1687|Gratz College|Melrose Park
1688|Martin University|Indianapolis
1689|Mercy College of Health Sciences|Des Moines
1690|Webb Institute|Glen Cove
1691|Philander Smith College|Little Rock
1692|Trinity College of Florida|Trinity
1693|University of the Potomac|Washington ...
1694|University of Holy Cross|New Orleans
1695|Pacific Oaks College|Pasadena
1696|Davis College|Johnson City ...
1697|Santa Fe University of Art and Design|Santa Fe
1698|Franciscan Missionaries of Our Lady University|Baton Rouge
1699|Maria College|Albany
1700|Nevada State College|Henderson
1701|Laguna College of Art and Design|Laguna Beach
1702|Brewton-Parker College|Mount Vernon
1703|New York City College of Technology, CUNY|Brooklyn
1704|Westfield State University|Westfield
1705|Cleary University|Howell ...
1706|Catholic Theological Union|Chicago
1707|Cox College|Springfield
1708|Lincoln College of New England|Southington ...
1709|God's Bible School and College|Cincinnati
1710|South Georgia State College|Douglas
1711|Everglades University|Boca Raton ...
1712|Florida Gateway College|Lake City
1713|Midstate College|Peoria
1714|Donnelly College|Kansas City
1715|The Wright Institute|Berkeley
1716|The College of Westchester|White Plains
1717|Five Towns College|Dix Hills
1718|Sofia University|Palo Alto
1719|Tennessee Wesleyan University|Athens ...
1720|Boricua College|New York City
1721|Phillips Graduate University|Chatsworth ...
1722|St. Gregory's University|Shawnee
1723|Patten University|Oakland
1724|Pontifical Faculty of the Immaculate Conception|Washington
1725|Labouré College|Milton
1726|Blessing-Rieman College of Nursing|Quincy
1727|Crossroads College|Rochester
1728|Trinity Bible College|Ellendale
1729|Southwestern College, Santa Fe|Santa Fe
1730|East-West University|Chicago
1731|United States University|San Diego
1732|University of Alaska Southeast|Juneau ...
1733|Beulah Heights University|Atlanta
1734|John Paul the Great Catholic University|Escondido
1735|Pennsylvania College of Health Sciences|Lancaster
1736|Mid-Atlantic Christian University|Elizabeth City
1737|Boise Bible College|Boise ...
1738|Nebraska Christian College|Papillion
1739|Middle Tennessee School of Anesthesia|Madison
1740|College of Staten Island|Staten Island
1741|Clear Creek Baptist Bible College|Pineville
1742|Great Lakes Christian College|Lansing
1743|Lakeview College of Nursing|Danville
1744|College of Biblical Studies|Houston
1745|The King's University|Southlake
1746|Columbia College of Nursing|Glendale
1747|Briarcliffe College|Bethpage
1748|Concordia College Alabama|Selma
1749|Jamestown Business College|Jamestown
1750|Southwestern Christian University|Bethany ...
1751|Resurrection University|Chicago
1752|Baptist University of the Americas|San Antonio
1753|Wade College|Dallas
1754|San Joaquin College of Law|Clovis
1755|Arlington Baptist University|Arlington
1756|Saint Augustine College|Chicago
1757|Plaza College|New York City
1758|Saint Luke's College of Health Sciences|Kansas City
1759|Heritage Christian University|Florence
1760|Northpoint Bible College|Haverhill
1761|Crowley's Ridge College|Paragould
1762|Pillar College|Newark ...
1763|Trinity College of Nursing & Health Sciences|Rock Island
1764|New Hope Christian College|Eugene
1765|The University of West Los Angeles|Inglewood
1766|Bellin College|Green Bay
1767|St. Louis Christian College|Florissant
1768|Wisconsin School of Professional Psychology|Milwaukee
1769|Dharma Realm Buddhist University|Ukiah
1770|Rocky Mountain University of Health Professions|Provo
1771|Baptist Bible College|Springfield
1772|American Baptist College|Nashville
1773|Tri-State Bible College|South Point ...
1774|Research College of Nursing|Kansas City
1775|Bryan College of Health Sciences|Lincoln
1776|Crossroads Bible College|Indianapolis
1777|Methodist College|Peoria
1778|Ecclesia College|Springdale
1779|Denver College of Nursing|Denver
1780|John Wesley University|High Point ...
1781|Michigan School of Psychology|Farmington Hills
1782|Richmont Graduate University|Chattanooga
1783|Southwest University of Visual Arts|Tucson ...
1784|The National Graduate School of Quality Management|Falmouth ...
1785|Good Samaritan College of Nursing and Health Science|Cincinnati
1786|Southeastern Baptist College|Laurel
1787|Medgar Evers College|Brooklyn
1788|University of Maine at Farmington|Farmington
1789|WON Institute of Graduate Studies|Glenside
1790|Bethesda University|Anaheim
1791|Helene Fuld College of Nursing|New York City
1792|Williams Baptist University|Walnut Ridge
1793|Providence Christian College|Pasadena
1794|Northeast Catholic College|Warner
1795|Indiana University Fort Wayne|Fort Wayne
1796|CUNY School of Law|Long Island City
Un|Cabarrus College of Health Sciences|Concord
Un|Saint Anthony College of Nursing|Rockford
Un|Geisinger Commonwealth School of Medicine|Scranton
Un|Irell and Manella Graduate School of Biological Sciences|Duarte
Un|American Film Institute Conservatory|Los Angeles
Un|Antioch University Santa Barbara|Santa Barbara
Un|The Art Institute of Pittsburgh|Pittsburgh ...
Un|Antioch University Los Angeles|Culver City
Un|Mayo Medical School|Rochester
Un|Antioch University New England|Keene
Un|Saint Francis Medical Center College of Nursing|Peoria
Un|Antioch University Seattle|Seattle
Un|Ohio University-Chillicothe|Chillicothe
Un|Ohio University Southern|Ironton
